4/7/2568,,สมส่วน บูติค,,,,,Page 1/1
15:01:19,,รายงาน ประวัติการสร้างสินค้า,,,,,
R05.127,,ประจำปี 2568,,,,,
วันที่ เวลา สร้างสินค้า,,,รหัสสินค้า,,Barcode,รายการ,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
21/4/2025 16:04,,,CL038,,CL038,ฟองน้ำล้างรถแปดใหญ่ 1+2 ฟองน้ำ 2 1x2 รถแ,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
21/4/2025 16:04,,,CL039,,CL039,ฟองน้ำไฮเทค - เดี่ยว (กลม) #2401 IMM,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
21/4/2025 16:04,,,CL072,,CL072,ฟองน้ำล้างรถ - รูปแปด (ใหญ่) 10 บ PSS,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
21/4/2025 16:04,,,CL069,,CL069,ถุงซักผ้าลาย #0579 (50*40 ซม) อย่างดี IM,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
21/4/2025 16:04,,,CL034,,CL034,ไม้ถูพื้นไต้หวัน - ส้ม #0691-ใหญ่ (หน้า 38 ซม),
,,,,,,,
,,,,,,,
,,,,,,,
